Date,Open,High,Low,Close
1983-06-01,125.84,125.84,125.84,125.84
1983-06-02,124.53,124.53,124.53,124.53
1983-06-03,124.11,124.11,124.11,124.11
1983-06-04,124.48,124.48,124.48,124.48
1983-06-07,123.78,123.78,123.78,123.78
1983-06-08,122.99,122.99,122.99,122.99
1983-06-09,122.89,122.89,122.89,122.89
1983-06-10,122.29,122.29,122.29,122.29
1983-06-11,121.89,121.89,121.89,121.89
1983-06-13,121.98,121.98,121.98,121.98
1983-06-14,125.8,125.8,125.8,125.8
1983-06-15,124.32,124.32,124.32,124.32
1983-06-16,123.02,123.02,123.02,123.02
1983-06-17,123.73,123.73,123.73,123.73
1983-06-18,123.53,123.53,123.53,123.53
1983-06-20,123.6,123.6,123.6,123.6
1983-06-21,125.06,125.06,125.06,125.06
1983-06-22,124.67,124.67,124.67,124.67
1983-06-23,124.85,124.85,124.85,124.85
1983-06-24,124.48,124.48,124.48,124.48
1983-06-25,124.75,124.75,124.75,124.75
1983-06-27,125.07,125.07,125.07,125.07
1983-06-28,124.52,124.52,124.52,124.52
1983-06-29,123.1,123.1,123.1,123.1
1983-06-30,122.44,122.44,122.44,122.44
1983-07-01,122.48,122.48,122.48,122.48
1983-07-02,122.08,122.08,122.08,122.08
1983-07-04,121.39,121.39,121.39,121.39
1983-07-05,121.84,121.84,121.84,121.84
1983-07-06,122.16,122.16,122.16,122.16
1983-07-07,122.23,122.23,122.23,122.23
1983-07-08,122.16,122.16,122.16,122.16
1983-07-09,122.51,122.51,122.51,122.51
1983-07-11,122.16,122.16,122.16,122.16
1983-07-12,121.26,121.26,121.26,121.26
1983-07-13,121.04,121.04,121.04,121.04
1983-07-14,121.61,121.61,121.61,121.61
1983-07-15,121.73,121.73,121.73,121.73
1983-07-16,121.9,121.9,121.9,121.9
1983-07-18,123.37,123.37,123.37,123.37
1983-07-19,123.57,123.57,123.57,123.57
1983-07-20,122.97,122.97,122.97,122.97
1983-07-21,123.74,123.74,123.74,123.74
1983-07-22,123.89,123.89,123.89,123.89
1983-07-23,124.14,124.14,124.14,124.14
1983-07-25,124.03,124.03,124.03,124.03
1983-07-26,123.96,123.96,123.96,123.96
1983-07-27,123.82,123.82,123.82,123.82
1983-07-28,124.45,124.45,124.45,124.45
1983-07-29,124.98,124.98,124.98,124.98
1983-07-30,125.04,125.04,125.04,125.04
1983-08-01,124.6,124.6,124.6,124.6
1983-08-02,124.57,124.57,124.57,124.57
1983-08-03,124.4,124.4,124.4,124.4
1983-08-04,124.52,124.52,124.52,124.52
1983-08-05,124.68,124.68,124.68,124.68
1983-08-06,124.27,124.27,124.27,124.27
1983-08-08,123.63,123.63,123.63,123.63
1983-08-09,123.57,123.57,123.57,123.57
1983-08-10,123.0,123.0,123.0,123.0
1983-08-11,122.81,122.81,122.81,122.81
1983-08-12,122.8,122.8,122.8,122.8
1983-08-13,122.64,122.64,122.64,122.64
1983-08-16,122.67,122.67,122.67,122.67
1983-08-17,121.49,121.49,121.49,121.49
1983-08-18,122.27,122.27,122.27,122.27
1983-08-19,121.6,121.6,121.6,121.6
1983-08-20,121.63,121.63,121.63,121.63
1983-08-22,122.13,122.13,122.13,122.13
1983-08-23,121.08,121.08,121.08,121.08
1983-08-24,120.48,120.48,120.48,120.48
1983-08-25,119.92,119.92,119.92,119.92
1983-08-26,119.13,119.13,119.13,119.13
1983-08-27,119.21,119.21,119.21,119.21
1983-08-29,118.84,118.84,118.84,118.84
1983-08-30,119.27,119.27,119.27,119.27
1983-08-31,118.82,118.82,118.82,118.82
1983-09-01,117.68,117.68,117.68,117.68
1983-09-02,117.4,117.4,117.4,117.4
1983-09-03,117.55,117.55,117.55,117.55
1983-09-05,118.97,118.97,118.97,118.97
1983-09-06,120.01,120.01,120.01,120.01
1983-09-07,121.63,121.63,121.63,121.63
1983-09-08,121.16,121.16,121.16,121.16
1983-09-09,120.74,120.74,120.74,120.74
1983-09-10,120.28,120.28,120.28,120.28
1983-09-12,119.47,119.47,119.47,119.47
1983-09-13,119.06,119.06,119.06,119.06
1983-09-14,119.07,119.07,119.07,119.07
1983-09-15,118.72,118.72,118.72,118.72
1983-09-16,119.05,119.05,119.05,119.05
1983-09-17,119.53,119.53,119.53,119.53
1983-09-19,119.2,119.2,119.2,119.2
1983-09-20,119.64,119.64,119.64,119.64
1983-09-22,119.7,119.7,119.7,119.7
1983-09-23,119.28,119.28,119.28,119.28
1983-09-24,118.87,118.87,118.87,118.87
1983-09-26,118.08,118.08,118.08,118.08
1983-09-27,117.14,117.14,117.14,117.14
1983-09-28,117.4,117.4,117.4,117.4
1983-09-29,116.68,116.68,116.68,116.68
1983-09-30,117.71,117.71,117.71,117.71
1983-10-04,117.61,117.61,117.61,117.61
1983-10-05,117.08,117.08,117.08,117.08
1983-10-06,117.01,117.01,117.01,117.01
1983-10-07,116.67,116.67,116.67,116.67
1983-10-08,116.63,116.63,116.63,116.63
1983-10-10,115.59,115.59,115.59,115.59
1983-10-11,117.25,117.25,117.25,117.25
1983-10-12,117.52,117.52,117.52,117.52
1983-10-13,118.57,118.57,118.57,118.57
1983-10-14,119.65,119.65,119.65,119.65
1983-10-15,119.29,119.29,119.29,119.29
1983-10-17,119.06,119.06,119.06,119.06
1983-10-18,118.53,118.53,118.53,118.53
1983-10-19,118.71,118.71,118.71,118.71
1983-10-20,117.93,117.93,117.93,117.93
1983-10-21,118.36,118.36,118.36,118.36
1983-10-22,118.67,118.67,118.67,118.67
1983-10-24,118.03,118.03,118.03,118.03
1983-10-25,117.53,117.53,117.53,117.53
1983-10-26,117.9,117.9,117.9,117.9
1983-10-27,117.79,117.79,117.79,117.79
1983-10-28,119.41,119.41,119.41,119.41
1983-10-29,119.85,119.85,119.85,119.85
1983-10-31,121.42,121.42,121.42,121.42
1983-11-01,121.35,121.35,121.35,121.35
1983-11-02,121.86,121.86,121.86,121.86
1983-11-03,121.93,121.93,121.93,121.93
1983-11-04,121.45,121.45,121.45,121.45
1983-11-05,120.85,120.85,120.85,120.85
1983-11-07,121.23,121.23,121.23,121.23
1983-11-08,120.6,120.6,120.6,120.6
1983-11-09,120.19,120.19,120.19,120.19
1983-11-10,120.25,120.25,120.25,120.25
1983-11-11,120.84,120.84,120.84,120.84
1983-11-12,120.71,120.71,120.71,120.71
1983-11-14,120.17,120.17,120.17,120.17
1983-11-15,119.95,119.95,119.95,119.95
1983-11-16,121.22,121.22,121.22,121.22
1983-11-17,120.46,120.46,120.46,120.46
1983-11-18,119.95,119.95,119.95,119.95
1983-11-19,119.39,119.39,119.39,119.39
1983-11-21,118.95,118.95,118.95,118.95
1983-11-22,118.84,118.84,118.84,118.84
1983-11-23,118.39,118.39,118.39,118.39
1983-11-24,118.11,118.11,118.11,118.11
1983-11-25,117.86,117.86,117.86,117.86
1983-11-26,117.74,117.74,117.74,117.74
1983-11-28,117.64,117.64,117.64,117.64
1983-11-29,117.61,117.61,117.61,117.61
1983-11-30,117.63,117.63,117.63,117.63
1983-12-01,117.93,117.93,117.93,117.93
1983-12-02,117.41,117.41,117.41,117.41
1983-12-03,117.04,117.04,117.04,117.04
1983-12-05,117.26,117.26,117.26,117.26
1983-12-06,117.57,117.57,117.57,117.57
1983-12-07,117.09,117.09,117.09,117.09
1983-12-08,118.45,118.45,118.45,118.45
1983-12-09,118.83,118.83,118.83,118.83
1983-12-10,119.07,119.07,119.07,119.07
1983-12-12,119.78,119.78,119.78,119.78
1983-12-13,120.11,120.11,120.11,120.11
1983-12-14,119.86,119.86,119.86,119.86
1983-12-15,119.8,119.8,119.8,119.8
1983-12-16,120.25,120.25,120.25,120.25
1983-12-17,120.64,120.64,120.64,120.64
1983-12-19,121.5,121.5,121.5,121.5
1983-12-20,121.6,121.6,121.6,121.6
1983-12-21,120.99,120.99,120.99,120.99
1983-12-22,121.27,121.27,121.27,121.27
1983-12-23,121.29,121.29,121.29,121.29
1983-12-24,121.21,121.21,121.21,121.21
1984-01-04,115.25,115.25,115.25,115.25
1984-01-05,115.25,115.25,115.25,115.25
1984-01-06,115.25,115.25,115.25,115.25
1984-01-07,115.25,115.25,115.25,115.25
1984-01-09,115.25,115.25,115.25,115.25
1984-01-10,115.25,115.25,115.25,115.25
1984-01-11,117.98,117.98,117.98,117.98
1984-01-12,118.51,118.51,118.51,118.51
1984-01-13,118.58,118.58,118.58,118.58
1984-01-14,118.15,118.15,118.15,118.15
1984-01-16,118.66,118.66,118.66,118.66
1984-01-17,117.92,117.92,117.92,117.92
1984-01-18,117.58,117.58,117.58,117.58
1984-01-19,118.23,118.23,118.23,118.23
1984-01-20,118.26,118.26,118.26,118.26
1984-01-21,118.38,118.38,118.38,118.38
1984-01-23,119.57,119.57,119.57,119.57
1984-01-24,120.09,120.09,120.09,120.09
1984-01-25,120.12,120.12,120.12,120.12
1984-01-26,120.41,120.41,120.41,120.41
1984-01-27,121.12,121.12,121.12,121.12
1984-01-28,122.5,122.5,122.5,122.5
1984-01-30,123.41,123.41,123.41,123.41
1984-01-31,124.08,124.08,124.08,124.08
1984-02-01,126.78,126.78,126.78,126.78
1984-02-02,129.24,129.24,129.24,129.24
1984-02-03,126.69,126.69,126.69,126.69
1984-02-04,129.06,129.06,129.06,129.06
1984-02-06,130.31,130.31,130.31,130.31
1984-02-07,130.66,130.66,130.66,130.66
1984-02-08,130.36,130.36,130.36,130.36
1984-02-09,127.53,127.53,127.53,127.53
1984-02-10,128.78,128.78,128.78,128.78
1984-02-11,131.08,131.08,131.08,131.08
1984-02-13,132.36,132.36,132.36,132.36
1984-02-14,132.45,132.45,132.45,132.45
1984-02-15,132.59,132.59,132.59,132.59
1984-02-16,132.03,132.03,132.03,132.03
1984-02-17,131.05,131.05,131.05,131.05
1984-02-18,130.64,130.64,130.64,130.64
1984-02-20,129.22,129.22,129.22,129.22
1984-02-21,128.59,128.59,128.59,128.59
1984-02-22,129.06,129.06,129.06,129.06
1984-02-23,129.18,129.18,129.18,129.18
1984-02-24,130.03,130.03,130.03,130.03
1984-02-25,130.53,130.53,130.53,130.53
1984-02-27,128.96,128.96,128.96,128.96
1984-02-28,129.24,129.24,129.24,129.24
1984-02-29,129.66,129.66,129.66,129.66
1984-03-02,129.01,129.01,129.01,129.01
1984-03-03,128.32,128.32,128.32,128.32
1984-03-05,128.43,128.43,128.43,128.43
1984-03-06,128.19,128.19,128.19,128.19
1984-03-07,127.43,127.43,127.43,127.43
1984-03-08,126.33,126.33,126.33,126.33
1984-03-09,127.37,127.37,127.37,127.37
1984-03-12,127.02,127.02,127.02,127.02
1984-03-13,126.53,126.53,126.53,126.53
1984-03-14,127.72,127.72,127.72,127.72
1984-03-15,128.25,128.25,128.25,128.25
1984-03-16,128.82,128.82,128.82,128.82
1984-03-17,127.93,127.93,127.93,127.93
1984-03-19,128.14,128.14,128.14,128.14
1984-03-20,127.89,127.89,127.89,127.89
1984-03-21,128.76,128.76,128.76,128.76
1984-03-22,128.79,128.79,128.79,128.79
1984-03-23,128.96,128.96,128.96,128.96
1984-03-24,130.73,130.73,130.73,130.73
1984-03-26,132.08,132.08,132.08,132.08
1984-03-27,131.53,131.53,131.53,131.53
1984-03-28,132.71,132.71,132.71,132.71
1984-03-29,132.5,132.5,132.5,132.5
1984-03-30,132.11,132.11,132.11,132.11
1984-03-31,133.35,133.35,133.35,133.35
1984-04-02,133.35,133.35,133.35,133.35
1984-04-03,133.27,133.27,133.27,133.27
1984-04-04,133.81,133.81,133.81,133.81
1984-04-06,135.44,135.44,135.44,135.44
1984-04-07,135.3,135.3,135.3,135.3
1984-04-09,135.33,135.33,135.33,135.33
1984-04-10,134.62,134.62,134.62,134.62
1984-04-11,134.18,134.18,134.18,134.18
1984-04-12,132.94,132.94,132.94,132.94
1984-04-13,131.98,131.98,131.98,131.98
1984-04-14,133.36,133.36,133.36,133.36
1984-04-16,132.14,132.14,132.14,132.14
1984-04-17,131.54,131.54,131.54,131.54
1984-04-18,131.09,131.09,131.09,131.09
1984-04-19,132.11,132.11,132.11,132.11
1984-04-20,130.78,130.78,130.78,130.78
1984-04-21,131.38,131.38,131.38,131.38
1984-04-23,132.13,132.13,132.13,132.13
1984-04-24,133.33,133.33,133.33,133.33
1984-04-25,133.34,133.34,133.34,133.34
1984-04-26,132.71,132.71,132.71,132.71
1984-04-27,133.23,133.23,133.23,133.23
1984-04-28,134.61,134.61,134.61,134.61
1984-04-30,135.6,135.6,135.6,135.6
1984-05-01,134.95,134.95,134.95,134.95
1984-05-02,135.84,135.84,135.84,135.84
1984-05-03,136.23,136.23,136.23,136.23
1984-05-04,134.73,134.73,134.73,134.73
1984-05-07,134.67,134.67,134.67,134.67
1984-05-09,132.54,132.54,132.54,132.54
1984-05-10,130.38,130.38,130.38,130.38
1984-05-11,129.51,129.51,129.51,129.51
1984-05-12,131.11,131.11,131.11,131.11
1984-05-14,129.36,129.36,129.36,129.36
1984-05-15,129.24,129.24,129.24,129.24
1984-05-16,130.01,130.01,130.01,130.01
1984-05-17,129.84,129.84,129.84,129.84
1984-05-18,129.97,129.97,129.97,129.97
1984-05-19,130.83,130.83,130.83,130.83
1984-05-21,130.04,130.04,130.04,130.04
1984-05-22,132.28,132.28,132.28,132.28
1984-05-23,132.02,132.02,132.02,132.02
1984-05-24,132.84,132.84,132.84,132.84
1984-05-25,131.79,131.79,131.79,131.79
1984-05-26,131.29,131.29,131.29,131.29
1984-05-28,131.6,131.6,131.6,131.6
1984-05-29,130.9,130.9,130.9,130.9
1984-05-30,130.98,130.98,130.98,130.98
1984-05-31,130.48,130.48,130.48,130.48
1984-06-01,131.18,131.18,131.18,131.18
1984-06-02,132.17,132.17,132.17,132.17
1984-06-04,132.48,132.48,132.48,132.48
1984-06-05,134.0,134.0,134.0,134.0
1984-06-07,134.51,134.51,134.51,134.51
1984-06-08,134.85,134.85,134.85,134.85
1984-06-09,134.85,134.85,134.85,134.85
1984-06-11,135.28,135.28,135.28,135.28
1984-06-12,135.93,135.93,135.93,135.93
1984-06-13,136.24,136.24,136.24,136.24
1984-06-14,135.45,135.45,135.45,135.45
1984-06-15,135.86,135.86,135.86,135.86
1984-06-16,135.87,135.87,135.87,135.87
1984-06-18,134.68,134.68,134.68,134.68
1984-06-19,134.8,134.8,134.8,134.8
1984-06-20,134.28,134.28,134.28,134.28
1984-06-21,134.1,134.1,134.1,134.1
1984-06-22,133.36,133.36,133.36,133.36
1984-06-23,132.36,132.36,132.36,132.36
1984-06-25,130.54,130.54,130.54,130.54
1984-06-26,129.89,129.89,129.89,129.89
1984-06-27,129.51,129.51,129.51,129.51
1984-06-28,131.77,131.77,131.77,131.77
1984-06-29,132.25,132.25,132.25,132.25
1984-06-30,130.28,130.28,130.28,130.28
1984-07-02,130.28,130.28,130.28,130.28
1984-07-03,130.65,130.65,130.65,130.65
1984-07-04,132.19,132.19,132.19,132.19
1984-07-05,130.22,130.22,130.22,130.22
1984-07-06,132.54,132.54,132.54,132.54
1984-07-07,134.41,134.41,134.41,134.41
1984-07-09,133.37,133.37,133.37,133.37
1984-07-10,132.65,132.65,132.65,132.65
1984-07-11,132.1,132.1,132.1,132.1
1984-07-12,131.31,131.31,131.31,131.31
1984-07-13,132.63,132.63,132.63,132.63
1984-07-14,132.68,132.68,132.68,132.68
1984-07-16,131.3,131.3,131.3,131.3
1984-07-18,131.9,131.9,131.9,131.9
1984-07-19,132.76,132.76,132.76,132.76
1984-07-20,133.34,133.34,133.34,133.34
1984-07-21,133.88,133.88,133.88,133.88
1984-07-23,135.24,135.24,135.24,135.24
1984-07-24,135.03,135.03,135.03,135.03
1984-07-25,134.97,134.97,134.97,134.97
1984-07-26,135.43,135.43,135.43,135.43
1984-07-27,135.29,135.29,135.29,135.29
1984-07-28,134.82,134.82,134.82,134.82
1984-07-30,134.94,134.94,134.94,134.94
1984-07-31,134.54,134.54,134.54,134.54
1984-08-01,134.54,134.54,134.54,134.54
1984-08-02,135.39,135.39,135.39,135.39
1984-08-03,135.47,135.47,135.47,135.47
1984-08-04,136.24,136.24,136.24,136.24
1984-08-06,136.6,136.6,136.6,136.6
1984-08-07,137.23,137.23,137.23,137.23
